"Level 1 Sector","Level 2 Category","Level 3 Niche","Level 4 Sub-Niche","Level 5 Micro-Niche","Level 6 Content Example","Video Title"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reviews","Action Movie Review Article","Furiosa: A Mad Max Saga - Movie Review"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reviews","Sci-Fi Blockbuster Critique Post","Dune: Part Two - Movie Review"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reaction","Live Blockbuster Reaction Video","Avengers: Endgame - Live Reaction"
"Entertainment","Movies & TV","Film Reviews","Blockbuster Critiques","Reaction","Post-Trailer Reaction Clip","Deadpool & Wolverine Trailer Reaction"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Explained","Indie Plot Breakdown Video","The Lighthouse - Explained"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Explained","Symbolism Explainer Short","Hereditary - Symbolism Explained"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Lists","Top 5 Indie Films Listicle","Top 5 Indie Movies You Missed"
"Entertainment","Movies & TV","Film Reviews","Indie Film Analysis","Lists","Indie Gems Countdown Video","Top 10 Hidden Indie Gems"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Recap","Latest Episode Recap Post","House of the Dragon Season 2 Episode 1 Recap"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Recap","Key Moments Summary Thread","The Boys Season 4 Episode 1 Recap"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Vlogs","Episode Recap Vlog Entry","Stranger Things Season 4 Episode 1 Vlog Recap"
"Entertainment","Movies & TV","TV Recaps","Episode Summaries","Vlogs","Fan Reaction Recap Video","The Mandalorian Season 3 Episode 1 Fan Recap"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Highlight","Season’s Best Scenes Clip","Stranger Things Season 4 Best Moments"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Highlight","Top Character Moments Video","Breaking Bad Best Moments"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Montage","Season Highlight Reel","Game of Thrones Season 8 Montage"
"Entertainment","Movies & TV","TV Recaps","Season Highlights","Montage","Fan-Made Season Montage","The Witcher Season 2 Fan Montage"
"Entertainment","Comedy","Skits","Short-Form Sketches","Sketch","Quick Comedy Sketch Video","When You’re Late to Work"
"Entertainment","Comedy","Skits","Short-Form Sketches","Sketch","Parody Skit Reel","Star Wars Parody Sketch"
"Entertainment","Comedy","Skits","Short-Form Sketches","Challenges","Sketch Challenge Entry","Impression Challenge Sketch"
"Entertainment","Comedy","Skits","Short-Form Sketches","Challenges","Improv Skit Challenge Video","Improv Comedy Challenge"
"Entertainment","Comedy","Skits","Improv Scenes","Live","Live Improv Performance Stream","Whose Line Is It Anyway? - Live Improv"
"Entertainment","Comedy","Skits","Improv Scenes","Live","Improv Night Recording","Improv Night at UCB"
"Entertainment","Comedy","Skits","Improv Scenes","Behind-the-Scenes","Improv Rehearsal Footage","Improv Rehearsal BTS"
"Entertainment","Comedy","Skits","Improv Scenes","Behind-the-Scenes","Skit Prep BTS Video","SNL Skit Prep BTS"
"Entertainment","Comedy","Stand-Up","Live Routines","Live","Live Stand-Up Set Stream","Kevin Hart - Live Stand-Up 2023"
"Entertainment","Comedy","Stand-Up","Live Routines","Live","Comedy Club Performance Clip","Dave Chappelle - Live Clip"
"Entertainment","Comedy","Stand-Up","Live Routines","Rant","Stand-Up Rant on Trends","Bill Burr - Tech Rant"
"Entertainment","Comedy","Stand-Up","Live Routines","Rant","Topical Comedy Rant Video","John Oliver - Topical Rant"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Reviews","Comedy Special Review Post","Ali Wong Special Review"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Reviews","Stand-Up Special Critique","Hannah Gadsby - Nanette Review"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Podcasts","Comedy Special Recap Podcast","Netflix Is a Joke - Special Recap"
"Entertainment","Comedy","Stand-Up","Comedy Specials","Podcasts","Behind-the-Special Audio Chat","Joe Rogan - Special BTS"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Reveal","New Pop Single Reveal Video","Miley Cyrus - Flowers Reveal"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Reveal","Pop Video Teaser Clip","Taylor Swift - Anti-Hero Teaser"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Montage","Pop Hits Montage Reel","2023 Pop Hits Montage"
"Entertainment","Music & Performance","Music Videos","Pop Releases","Montage","Dance Video Compilation","Pop Dance Compilation"
"Entertainment","Music & Performance","Music Videos","Indie Clips","Showcase","Indie Artist Video Showcase","Tash Sultana - Jungle (Live Bedroom)"
"Entertainment","Music & Performance","Music Videos","Indie Clips","Showcase","Acoustic Clip Collection","Indie Acoustic Sessions"
"Entertainment","Music & Performance","Music Videos","Indie Clips","DIY","DIY Music Video Tutorial","DIY Music Video Guide"
"Entertainment","Music & Performance","Music Videos","Indie Clips","DIY","Home-Made Indie Video","Home-Made Indie MV"
"Entertainment","Music & Performance","Live Performances","Concert Footage","Live","Live Concert Stream","Coldplay - Live from Buenos Aires"
"Entertainment","Music & Performance","Live Performances","Concert Footage","Live","Festival Performance Broadcast","Lollapalooza 2023 Live"
"Entertainment","Music & Performance","Live Performances","Concert Footage","Highlight","Concert Highlight Reel","Beyoncé - Coachella Highlights"
"Entertainment","Music & Performance","Live Performances","Concert Footage","Highlight","Top Song Performance Clip","Adele - Rolling in the Deep Live"
"Entertainment","Music & Performance","Live Performances","Street Shows","Vlogs","Street Performance Vlog","Busking in London Vlog"
"Entertainment","Music & Performance","Live Performances","Street Shows","Vlogs","Busking Day Video Diary","Street Musician Day Vlog"
"Entertainment","Music & Performance","Live Performances","Street Shows","Performance","Street Gig Recording","Street Guitar Performance"
"Entertainment","Music & Performance","Live Performances","Street Shows","Performance","Open Mic Night Clip","Open Mic Night 2023"
"Education","Academic","Math Lessons","Algebra Basics","Tutorials","Basic Algebra Tutorial Video","Algebra Basics for Beginners"
"Education","Academic","Math Lessons","Algebra Basics","Tutorials","Solving Equations Step-by-Step","Solving Linear Equations"
"Education","Academic","Math Lessons","Algebra Basics","Explained","Algebra Concepts Explainer","Why Learn Algebra?"
"Education","Academic","Math Lessons","Algebra Basics","Explained","Why Algebra Matters Video","Algebra in Real Life"
"Education","Academic","Math Lessons","Calculus Concepts","Guide","Calculus Basics Guidebook","Introduction to Calculus"
"Education","Academic","Math Lessons","Calculus Concepts","Guide","Intro to Derivatives Guide Video","Derivatives Explained"
"Education","Academic","Math Lessons","Calculus Concepts","Q&A","Calculus Q&A Session Recording","Calculus Q&A Live"
"Education","Academic","Math Lessons","Calculus Concepts","Q&A","Student Calculus Questions Answered","Calculus FAQ Video"
"Education","Academic","History Lessons","Ancient Civilizations","Storytime","Ancient Egypt Storytime Video","The Fall of Ancient Egypt"
"Education","Academic","History Lessons","Ancient Civilizations","Storytime","Roman Empire Tale Audio","Rise and Fall of Rome"
"Education","Academic","History Lessons","Ancient Civilizations","Overview","Ancient Civs Overview Post","Ancient Civilizations 101"
"Education","Academic","History Lessons","Ancient Civilizations","Overview","Timeline of Early Societies","Timeline of Ancient History"
"Education","Academic","History Lessons","Modern Events","Update","World War II Update Summary","WWII in 5 Minutes"
"Education","Academic","History Lessons","Modern Events","Update","Cold War Progress Report","Cold War Summary"
"Education","Academic","History Lessons","Modern Events","Breakdown","WWII Battles Breakdown Video","Battle of Stalingrad Breakdown"
"Education","Academic","History Lessons","Modern Events","Breakdown","Cold War Events Analysis","Berlin Wall Analysis"
"Education","Skills & DIY","Coding Tutorials","Web Development","Tutorials","HTML Basics Tutorial Video","HTML for Beginners"
"Education","Skills & DIY","Coding Tutorials","Web Development","Tutorials","CSS Styling Step-by-Step","CSS Basics Tutorial"
"Education","Skills & DIY","Coding Tutorials","Web Development","Walkthrough","Website Build Walkthrough","Build a Website from Scratch"
"Education","Skills & DIY","Coding Tutorials","Web Development","Walkthrough","Responsive Design Guide Video","Responsive Web Design Guide"
"Education","Skills & DIY","Coding Tutorials","App Coding","Demo","Mobile App Demo Video","Flutter App Demo"
"Education","Skills & DIY","Coding Tutorials","App Coding","Demo","App Feature Showcase Clip","Flutter App Feature Demo"
"Education","Skills & DIY","Coding Tutorials","App Coding","Tips","App Coding Quick Tips Post","5 App Coding Tips"
"Education","Skills & DIY","Coding Tutorials","App Coding","Tips","Efficiency Coding Tip Video","Efficient Coding Tips"
"Education","Skills & DIY","Crafting Guides","Woodworking","DIY","DIY Bookshelf Build Video","DIY Bookshelf Tutorial"
"Education","Skills & DIY","Crafting Guides","Woodworking","DIY","Wooden Toy Crafting Tutorial","DIY Wooden Toy Car"
"Education","Skills & DIY","Crafting Guides","Woodworking","Tutorials","Wood Joint Tutorial Video","Dovetail Joint Tutorial"
"Education","Skills & DIY","Crafting Guides","Woodworking","Tutorials","Sanding Basics Guide","Sanding Wood 101"
"Education","Skills & DIY","Crafting Guides","Sewing Projects","Guide","Sewing Basics Guidebook","Sewing 101 Guide"
"Education","Skills & DIY","Crafting Guides","Sewing Projects","Guide","Dressmaking Starter Guide","Beginner Dressmaking"
"Education","Skills & DIY","Crafting Guides","Sewing Projects","Showcase","Handmade Quilt Showcase Video","Quilt Showcase"
"Education","Skills & DIY","Crafting Guides","Sewing Projects","Showcase","Custom Bag Creation Clip","Custom Tote Bag Video"
"Education","Science & Discovery","Space Exploration","Planetary Studies","Explained","Mars Surface Explainer Video","Mars Surface Explained"
"Education","Science & Discovery","Space Exploration","Planetary Studies","Explained","Jupiter Moons Breakdown","Jupiter’s Moons Explained"
"Education","Science & Discovery","Space Exploration","Planetary Studies","Update","Latest Mars Rover Update","Perseverance Update 2023"
"Education","Science & Discovery","Space Exploration","Planetary Studies","Update","Exoplanet Discovery Report","New Exoplanet Found"
"Education","Science & Discovery","Space Exploration","Space Missions","Recap","Apollo Mission Recap Post","Apollo 11 Recap"
"Education","Science & Discovery","Space Exploration","Space Missions","Recap","SpaceX Launch Summary Video","SpaceX Starship Recap"
"Education","Science & Discovery","Space Exploration","Space Missions","Analysis","Mission Success Analysis","Apollo 13 Analysis"
"Education","Science & Discovery","Space Exploration","Space Missions","Analysis","Launch Failure Breakdown","Challenger Disaster Breakdown"
"Education","Science & Discovery","Nature Studies","Wildlife Behavior","Vlogs","Wildlife Observation Vlog","Safari Vlog in Africa"
"Education","Science & Discovery","Nature Studies","Wildlife Behavior","Vlogs","Forest Animal Video Diary","Forest Wildlife Vlog"
"Education","Science & Discovery","Nature Studies","Wildlife Behavior","Observation","Predator Behavior Clip","Lion Hunting Footage"
"Education","Science & Discovery","Nature Studies","Wildlife Behavior","Observation","Bird Migration Footage","Bird Migration Video"
"Education","Science & Discovery","Nature Studies","Ecosystem Analysis","Breakdown","Rainforest Ecosystem Breakdown","Amazon Rainforest Breakdown"
"Education","Science & Discovery","Nature Studies","Ecosystem Analysis","Breakdown","Desert Life Analysis Video","Sahara Desert Life"
"Education","Science & Discovery","Nature Studies","Ecosystem Analysis","Case Study","Coral Reef Case Study Post","Great Barrier Reef Study"
"Education","Science & Discovery","Nature Studies","Ecosystem Analysis","Case Study","Wetland Ecosystem Report","Everglades Ecosystem Report"
"Lifestyle","Fitness","Yoga","Beginner Flows","Tutorials","Beginner Yoga Flow Video","Yoga for Beginners"
"Lifestyle","Fitness","Yoga","Beginner Flows","Tutorials","Morning Stretch Tutorial","Morning Yoga Stretch"
"Lifestyle","Fitness","Yoga","Beginner Flows","Vlogs","Yoga Beginner Vlog Entry","My First Yoga Vlog"
"Lifestyle","Fitness","Yoga","Beginner Flows","Vlogs","Daily Yoga Practice Video","Daily Yoga Vlog"
"Lifestyle","Fitness","Yoga","Advanced Poses","Challenges","Advanced Pose Challenge Video","30-Day Yoga Challenge"
"Lifestyle","Fitness","Yoga","Advanced Poses","Challenges","30-Day Yoga Challenge Clip","Yoga Challenge Day 1"
"Lifestyle","Fitness","Yoga","Advanced Poses","Tips","Advanced Yoga Tips Post","Advanced Yoga Tips"
"Lifestyle","Fitness","Yoga","Advanced Poses","Tips","Pose Mastery Quick Tip","Mastering Crow Pose"
"Lifestyle","Fitness","Strength Training","Weightlifting","Guide","Weightlifting Basics Guide","Weightlifting 101"
"Lifestyle","Fitness","Strength Training","Weightlifting","Guide","Powerlifting Starter Manual","Powerlifting Basics"
"Lifestyle","Fitness","Strength Training","Weightlifting","Test","Bench Press Test Video","Bench Press Form Check"
"Lifestyle","Fitness","Strength Training","Weightlifting","Test","Squat Form Trial Clip","Squat Form Test"
"Lifestyle","Fitness","Strength Training","Bodyweight Exercises","Tutorials","Push-Up Tutorial Video","Perfect Push-Up Tutorial"
"Lifestyle","Fitness","Strength Training","Bodyweight Exercises","Tutorials","Plank Form Guide","Plank Tutorial"
"Lifestyle","Fitness","Strength Training","Bodyweight Exercises","Experiment","No-Gym Workout Experiment","No-Gym Challenge"
"Lifestyle","Fitness","Strength Training","Bodyweight Exercises","Experiment","Bodyweight Challenge Results","Bodyweight Results"
"Lifestyle","Food & Cooking","Recipes","Vegan Dishes","Recipes","Vegan Pasta Recipe Post","Vegan Pasta Recipe"
"Lifestyle","Food & Cooking","Recipes","Vegan Dishes","Recipes","Plant-Based Dessert Recipe","Vegan Chocolate Cake"
"Lifestyle","Food & Cooking","Recipes","Vegan Dishes","Tutorials","Vegan Meal Prep Tutorial","Vegan Meal Prep Guide"
"Lifestyle","Food & Cooking","Recipes","Vegan Dishes","Tutorials","Easy Vegan Snack Video","Quick Vegan Snacks"
"Lifestyle","Food & Cooking","Recipes","Quick Meals","Tips","Quick Meal Prep Tips Post","5 Quick Meal Tips"
"Lifestyle","Food & Cooking","Recipes","Quick Meals","Tips","Fast Cooking Hacks Video","Fast Cooking Hacks"
"Lifestyle","Food & Cooking","Recipes","Quick Meals","Hack","Microwave Meal Hack Clip","Microwave Hacks"
"Lifestyle","Food & Cooking","Recipes","Quick Meals","Hack","One-Pan Dinner Shortcut","One-Pan Meal Hack"
"Lifestyle","Food & Cooking","Cooking Techniques","Baking Skills","Demo","Bread Baking Demo Video","Sourdough Bread Demo"
"Lifestyle","Food & Cooking","Cooking Techniques","Baking Skills","Demo","Cake Decorating Showcase","Cake Decorating Demo"
"Lifestyle","Food & Cooking","Cooking Techniques","Baking Skills","Guide","Baking Basics Guidebook","Baking 101 Guide"
"Lifestyle","Food & Cooking","Cooking Techniques","Baking Skills","Guide","Pastry Techniques Manual","Pastry Basics Guide"
"Lifestyle","Food & Cooking","Cooking Techniques","Grilling Tips","Tips","Grilling Basics Tip Post","Grilling Tips for Beginners"
"Lifestyle","Food & Cooking","Cooking Techniques","Grilling Tips","Tips","BBQ Flavor Hacks","BBQ Hacks Video"
"Lifestyle","Food & Cooking","Cooking Techniques","Grilling Tips","Vlogs","Grill Day Vlog Entry","BBQ Day Vlog"
"Lifestyle","Food & Cooking","Cooking Techniques","Grilling Tips","Vlogs","Backyard BBQ Video Diary","Backyard BBQ Vlog"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Daily Looks","Tutorials","Daily Makeup Tutorial Video","Everyday Makeup Tutorial"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Daily Looks","Tutorials","Office Look Step-by-Step","Office Makeup Tutorial"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Daily Looks","Try-On","Everyday Makeup Try-On Video","Daily Makeup Try-On"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Daily Looks","Try-On","Natural Glow Product Test","Natural Makeup Try-On"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Special Effects","Demo","Cosplay Makeup Demo Clip","Cosplay Makeup Demo"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Special Effects","Demo","Halloween Look Showcase","Halloween Makeup Demo"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Special Effects","Challenges","Special Effects Challenge Video","SFX Makeup Challenge"
"Lifestyle","Fashion & Beauty","Makeup Tutorials","Special Effects","Challenges","Fantasy Makeup Contest Entry","Fantasy Makeup Challenge"
"Lifestyle","Fashion & Beauty","Fashion Trends","Streetwear","Haul","Streetwear Haul Video","Streetwear Haul 2023"
"Lifestyle","Fashion & Beauty","Fashion Trends","Streetwear","Haul","Sneaker Collection Haul","Sneaker Haul Video"
"Lifestyle","Fashion & Beauty","Fashion Trends","Streetwear","Showcase","Streetwear Outfit Showcase","Streetwear Lookbook"
"Lifestyle","Fashion & Beauty","Fashion Trends","Streetwear","Showcase","Urban Style Lookbook Video","Urban Fashion Lookbook"
"Lifestyle","Fashion & Beauty","Fashion Trends","High Fashion","Reviews","Runway Fashion Review Post","Paris Fashion Week Review"
"Lifestyle","Fashion & Beauty","Fashion Trends","High Fashion","Reviews","Designer Collection Critique","Chanel Collection Review"
"Lifestyle","Fashion & Beauty","Fashion Trends","High Fashion","Tour","Fashion Week Tour Video","NYFW 2023 Tour"
"Lifestyle","Fashion & Beauty","Fashion Trends","High Fashion","Tour","Couture Showroom Visit Clip","Couture Atelier Visit"
"Technology","Consumer Tech","Gadget Reviews","Smartphones","Reviews","Latest Smartphone Review Post","iPhone 15 Review"
"Technology","Consumer Tech","Gadget Reviews","Smartphones","Reviews","Budget Phone Critique Article","Poco X5 Review"
"Technology","Consumer Tech","Gadget Reviews","Smartphones","Unboxing","New Smartphone Unboxing Video","Samsung S23 Unboxing"
"Technology","Consumer Tech","Gadget Reviews","Smartphones","Unboxing","Flagship Phone Reveal Clip","Google Pixel 8 Unboxing"
"Technology","Consumer Tech","Gadget Reviews","Wearables","First Impressions","Smartwatch First Look Video","Apple Watch Ultra First Look"
"Technology","Consumer Tech","Gadget Reviews","Wearables","First Impressions","Fitness Tracker Initial Review","Fitbit Charge 5 First Impressions"
"Technology","Consumer Tech","Gadget Reviews","Wearables","Comparison","Wearables Comparison Chart","Apple Watch vs Fitbit Comparison"
"Technology","Consumer Tech","Gadget Reviews","Wearables","Comparison","Smartwatch vs Tracker Video","Smartwatch vs Fitness Tracker"
"Technology","Consumer Tech","Smart Devices","Home Automation","Tutorials","Smart Light Setup Tutorial","Philips Hue Setup Guide"
"Technology","Consumer Tech","Smart Devices","Home Automation","Tutorials","Voice Assistant Guide Video","Alexa Setup Tutorial"
"Technology","Consumer Tech","Smart Devices","Home Automation","Setup","Home Automation Setup Guide","Smart Home Setup 101"
"Technology","Consumer Tech","Smart Devices","Home Automation","Setup","Smart Home Installation Clip","Google Nest Installation"
"Technology","Consumer Tech","Smart Devices","IoT Gadgets","Demo","Smart Lock Demo Video","August Smart Lock Demo"
"Technology","Consumer Tech","Smart Devices","IoT Gadgets","Demo","Connected Thermostat Showcase","Nest Thermostat Demo"
"Technology","Consumer Tech","Smart Devices","IoT Gadgets","Hack","IoT Energy-Saving Hack Post","Smart Home Energy Hacks"
"Technology","Consumer Tech","Smart Devices","IoT Gadgets","Hack","Smart Device Shortcut Video","IoT Shortcuts You Need"
"Technology","Software & Coding","App Development","Mobile Apps","Tutorials","iOS App Tutorial Video","iOS App Development Tutorial"
"Technology","Software & Coding","App Development","Mobile Apps","Tutorials","Android App Coding Guide","Android App Tutorial"
"Technology","Software & Coding","App Development","Mobile Apps","Walkthrough","Mobile App Build Walkthrough","Build an App with Flutter"
"Technology","Software & Coding","App Development","Mobile Apps","Walkthrough","App Feature Coding Video","Coding App Features in Swift"
"Technology","Software & Coding","App Development","Desktop Software","Guide","Desktop App Development Guide","Desktop App with Python"
"Technology","Software & Coding","App Development","Desktop Software","Guide","Software Design Basics Manual","Software Design Basics"
"Technology","Software & Coding","App Development","Desktop Software","Demo","Productivity Tool Demo Clip","Notion App Demo"
"Technology","Software & Coding","App Development","Desktop Software","Demo","Design Software Showcase","Adobe XD Showcase"
"Technology","Software & Coding","Programming Skills","Code Debugging","Tips","Debugging Tips Post","Debugging Tips for Beginners"
"Technology","Software & Coding","Programming Skills","Code Debugging","Tips","Bug Fix Quick Tip Video","Quick Bug Fixes in Python"
"Technology","Software & Coding","Programming Skills","Code Debugging","Q&A","Debugging Q&A Session","Live Debugging Q&A"
"Technology","Software & Coding","Programming Skills","Code Debugging","Q&A","Common Bugs Answered Video","Common Coding Bugs Explained"
"Technology","Software & Coding","Programming Skills","Best Practices","Explained","Clean Code Explainer Video","Clean Code Principles"
"Technology","Software & Coding","Programming Skills","Best Practices","Explained","Coding Standards Breakdown","Coding Standards 101"
"Technology","Software & Coding","Programming Skills","Best Practices","Case Study","Code Refactor Case Study","Refactoring Example"
"Technology","Software & Coding","Programming Skills","Best Practices","Case Study","Best Practice Example Post","Best Coding Practices Demo"
"Technology","Digital Culture","Internet Trends","Social Media Shifts","Update","Platform Update Summary","TikTok Algorithm Update 2023"
"Technology","Digital Culture","Internet Trends","Social Media Shifts","Update","Social Media Trend Report","Instagram Trends 2023"
"Technology","Digital Culture","Internet Trends","Social Media Shifts","Analysis","Algorithm Change Analysis","YouTube Algorithm Analysis"
"Technology","Digital Culture","Internet Trends","Social Media Shifts","Analysis","Trend Impact Breakdown Video","Social Media Trends Breakdown"
"Technology","Digital Culture","Internet Trends","Meme Culture","Reaction","Viral Meme Reaction Video","Viral Meme Reactions 2023"
"Technology","Digital Culture","Internet Trends","Meme Culture","Reaction","Meme Trend Response Clip","Meme Reaction Compilation"
"Technology","Digital Culture","Internet Trends","Meme Culture","Compilation","Top Memes Compilation Video","Best Memes of 2023"
"Technology","Digital Culture","Internet Trends","Meme Culture","Compilation","Meme Evolution Reel","Meme Evolution 2020-2023"
"Technology","Digital Culture","Digital Media","Video Content","Tutorials","Video Editing Tutorial Video","Video Editing for Beginners"
"Technology","Digital Culture","Digital Media","Video Content","Tutorials","Short-Form Video Guide","TikTok Editing Tutorial"
"Technology","Digital Culture","Digital Media","Video Content","Behind-the-Scenes","Video Creation BTS Clip","BTS of a YouTube Video"
"Technology","Digital Culture","Digital Media","Video Content","Behind-the-Scenes","Editing Process Reveal","Editing BTS with Premiere Pro"
"Technology","Digital Culture","Digital Media","Podcasts","Podcasts","Tech Trends Podcast Episode","Tech Trends Podcast 2023"
"Technology","Digital Culture","Digital Media","Podcasts","Podcasts","Digital Culture Audio Chat","Digital Culture Podcast"
"Technology","Digital Culture","Digital Media","Podcasts","Interview","Creator Interview Podcast","YouTuber Interview Podcast"
"Technology","Digital Culture","Digital Media","Podcasts","Interview","Tech Expert Audio Q&A","Tech Expert Q&A Podcast"
"Technology","Emerging Tech","AI Applications","Chatbots","Demo","Chatbot Demo Video","ChatGPT Demo"
"Technology","Emerging Tech","AI Applications","Chatbots","Demo","AI Assistant Showcase Clip","Google Bard Showcase"
"Technology","Emerging Tech","AI Applications","Chatbots","Explained","Chatbot Tech Explainer Video","How Chatbots Work"
"Technology","Emerging Tech","AI Applications","Chatbots","Explained","AI Chat Basics Breakdown","AI Chat Basics"
"Technology","Emerging Tech","AI Applications","Machine Learning","Tutorials","ML Model Tutorial Video","Machine Learning Tutorial"
"Technology","Emerging Tech","AI Applications","Machine Learning","Tutorials","AI Training Guide","Training AI Models"
"Technology","Emerging Tech","AI Applications","Machine Learning","Case Study","ML Project Case Study Post","ML Case Study: Image Recognition"
